Item	GT	o3 mini				Gemini				o3 mini avg	gemini avg	abs(estimated - gt)	
Kiprun run 100 Women's Breathable tank top, white/ecru	2.45	2.8	1.6	8	2	5	4	3	3	3.6	3.75	1.15	1.3
Clara Cashmere Crew Cardigan	23.6	19	10	10.7	10	26	18	25	20	12.425	22.25	11.175	1.35
Petites Vida Low Rise Pant	12.25	6	10	10.7	6	25	33	35	20	8.175	28.25	4.075	16
Pomona Linen Dress	15.9	10	6	10.7	6	8	9	10	12	8.175	9.75	7.725	6.15
Avery Knit Top	5.9	4	4	6.4	3	8	4	6	18	4.35	9	1.55	3.1
Asher Oversized Long Sleeve Tee	5.9	6	4	10.7	4	6	5	6	12	6.175	7.25	0.275	1.35
Ghost 15 Carbon Neutral	9.27	7.26	9.2	9.24	9.14	16	12	18	15	8.71	15.25	0.56	5.98
Lean Dean Troubled Sea	8.22	29	28	29	28	33	33	27	30	28.5	30.75	20.28	22.53
Zeb Denim Shorts Dry Streaky	7.48	16	17.5	18	18	20	35	16	18	17.375	22.25	9.895	14.77
Eddy Rider Leather Jacket Black	43.6	60	42.5	100	100	45	90	55	60	75.625	62.5	32.025	18.9
Adicolor Classics Firebird Track Pants	8.9	12	37.2	18	10	16	15	15	20	19.3	16.5	10.4	7.6
Adicolor Classics Firebird Track Jacket	7.9	14	22.7	25	12	15	18	20	22	18.425	18.75	10.525	10.85
Adicolor Classics Firebird Track Pants	9.9	12	37.2	18	10	20	8	15	16.5	19.3	14.875	9.4	4.975
Move for the Planet AirChill Tee	6.6	4	41.1	8	4	4.6	7	4	6.5	14.275	5.525	7.675	1.075
Own the Run 3-Stripes 2-in-1 Shorts	5.1	6	40.8	10	6	6	10	10	8	15.7	8.5	10.6	3.4
Z.N.E. Woven Full-Zip Hoodie	11.8	18	28.3	28	12	20	15	25	24	21.575	21	9.775	9.2
Z.N.E. Woven Pants	12.2	16	32.7	21	10	20	25	30	25	19.925	25	7.725	12.8
Supernova Stride Shoes	9	16	7.7	18	7	20	12	17	16	12.175	16.25	3.175	7.25
												7.614567308	8.106538462
												mae o3 mini	mae gemini
