Item	GT	o3 mini				Gemini				o3 mini avg	gemini avg	abs(estimated - gt)	
Zignago Glass Jar 425ml	3.17	0.3	0.12	0.3	0.25	0.12	0.14	0.11	0.12	0.24	0.12	2.93	3.05
Zignago Glass Jar 220ml	2.22	0.15	0.09	0.25	0.16	0.09	0.10	0.08	0.09	0.16	0.09	2.06	2.13
Zignago Glass Bottle	1.07	1	1.05	1.1	1	0.83	0.89	0.86	0.87	1.04	0.86	0.03	0.21
Zignago Glass Jar 390ml	1.08	1	1.4	1	1.1	0.95	0.92	0.90	0.75	1.13	0.88	0.04	0.20
Steelcase Lares Desk	101	140	100	80	68	150.00	99.89	38.32	50.81	97.00	84.76	4.00	16.25
Steelcase Lares Meeting	220	210	190	190	173	150.51	282.58	148.15	148.73	190.75	182.49	29.25	37.51
Steelcase Lares Mobile	99.7	65	69	71	100	55.43	111.15	52.22	60.84	76.25	69.91	23.45	29.79
Steelcase Fusion Desk	101	88	150	150	90	63.18	123.69	104.03	67.88	119.50	89.70	18.50	11.31
KI Postura+ Chair	11.9	11.3	8	13	9	7.00	18.00	7.29	6.89	10.33	9.80	1.58	2.11
												102.91	153.22
												mae o3 mini	mae gemini
